date,theme_name,grade,avg_rsi,total_trade_value,avg_disparity_20,total_sm_flow,avg_macd_hist,vol_ma20,volume_spike,prev_macd_hist,macd_improving,next_grade,target
2024-11-18,건강기능식품,6등급,32.26923076923077,42822384010.0,90.52063901109008,0.0,-103.38,38885995368.25,1.1012289541381786,-77.55384615384615,0,6등급,0
2024-11-19,건강기능식품,6등급,32.776153846153846,46216763840.0,91.03315470301031,0.0,-116.69076923076923,39724908447.75,1.163420273221994,-103.38,0,6등급,0
2024-11-20,건강기능식품,6등급,34.37769230769231,40781375640.0,91.93979496602039,0.0,-116.99846153846154,39950457952.25,1.0207987024514997,-116.69076923076923,0,2등급,1
2024-12-09,건강기능식품,6등급,29.04,33402859545.0,91.28733561853021,0.0,-66.52153846153846,47091330509.85,0.7093207854471895,-21.193076923076923,0,6등급,0
2024-12-10,건강기능식품,6등급,37.300769230769234,40078831425.0,95.24269050364019,0.0,-73.60692307692308,46124732249.1,0.8689227984793784,-66.52153846153846,0,6등급,0
2024-12-11,건강기능식품,6등급,43.34153846153846,31567868320.0,98.59905444028378,0.0,-52.005384615384614,44848695966.35,0.7038748315822915,-73.60692307692308,1,6등급,0
2024-12-12,건강기능식품,6등급,43.49846153846154,60511281340.0,98.87112481912388,0.0,-35.53230769230769,43872357029.6,1.3792575880792997,-52.005384615384614,1,6등급,0
2024-12-13,건강기능식품,6등급,45.8,40224844980.0,100.12647444946153,0.0,-13.755384615384616,44224007350.1,0.9095703304668759,-35.53230769230769,1,6등급,0
2024-12-18,건강기능식품,6등급,48.426153846153845,27107879720.0,101.88386276084115,0.0,25.01076923076923,43017163936.1,0.6301642702496031,10.391538461538461,1,6등급,0
2024-12-19,건강기능식품,6등급,46.52461538461539,41223283635.0,100.89062373977461,0.0,28.483846153846155,42333489140.1,0.9737747696291736,25.01076923076923,1,6등급,0
2024-12-30,건강기능식품,6등급,43.47538461538461,16006132660.0,99.28896533050529,0.0,-5.712307692307692,36179163802.95,0.442413007309331,1.5069230769230768,0,6등급,0
2025-01-02,건강기능식품,6등급,45.15384615384615,15796011485.0,100.05373527546357,0.0,-1.9023076923076923,34251505550.75,0.46117714334032,-5.712307692307692,1,6등급,0
2025-01-03,건강기능식품,6등급,46.683846153846154,26880280165.0,100.80517726466914,0.0,-1.0984615384615386,32766013925.75,0.8203707727742694,-1.9023076923076923,1,6등급,0
2025-01-06,건강기능식품,6등급,49.91384615384615,37348190130.0,102.43862828384492,0.0,11.948461538461538,32126691030.5,1.1625283816046565,-1.0984615384615386,1,6등급,0
2025-01-07,건강기능식품,6등급,49.78,27175703945.0,102.11482207772907,0.0,25.376153846153848,31796712423.25,0.8546702433654404,11.948461538461538,1,6등급,0
2025-01-08,건강기능식품,6등급,50.176923076923075,23238400935.0,102.05025428529798,0.0,36.464615384615385,31737520151.5,0.732205945016208,25.376153846153848,1,6등급,0
2025-01-09,건강기능식품,6등급,50.44538461538462,50104475873.0,101.52461335217025,0.0,48.34538461538462,31237575139.0,1.603980963632633,36.464615384615385,1,6등급,0
2025-01-14,건강기능식품,6등급,48.550769230769234,22044948359.0,100.3355400870748,0.0,59.56461538461539,31989245662.65,0.6891362363301751,60.92,0,6등급,0
2025-01-15,건강기능식품,6등급,45.99923076923077,24812978310.0,99.27760156762254,0.0,44.91153846153846,30065929013.6,0.8252856014785412,59.56461538461539,0,6등급,0
2025-01-16,건강기능식품,6등급,48.80923076923077,22821940530.0,100.23946836369136,0.0,34.58615384615385,29295335680.1,0.7790298353025084,44.91153846153846,0,6등급,0
2025-01-17,건강기능식품,6등급,50.293076923076924,24340136425.0,100.98967674197166,0.0,30.97923076923077,29238986819.35,0.8324548513046286,34.58615384615385,0,6등급,0
2025-01-20,건강기능식품,6등급,47.65076923076923,14639188742.0,100.04844980102192,0.0,15.003076923076923,27858257239.1,0.5254883181081912,30.97923076923077,0,6등급,0
2025-01-21,건강기능식품,6등급,47.02307692307692,22274942160.0,99.66598293891184,0.0,7.203076923076923,27234822690.2,0.8178846035966766,15.003076923076923,0,6등급,0
