date,theme_name,total_cnt,phase1_cnt,phase2_cnt,phase3_cnt,phase4_cnt,avg_trade_value,lag_avg_trade_value,phase1_increase,phase3_increase,trade_value_spike,global_rank,grade,future_grade_d1,future_grade_d2
2025-11-28,금,9,2,1,5,1,9026991207.222221,16443920416.222221,-1.0,2.0,0.5489561478488386,186,6등급,4등급,6등급
2025-12-01,금,9,1,1,7,0,7997760673.0,9026991207.222221,-1.0,2.0,0.8859829913871229,100,4등급,6등급,6등급
2025-12-02,금,9,1,1,5,2,8097092115.666667,7997760673.0,0.0,-2.0,1.01241990686243,198,6등급,6등급,5등급
2025-12-03,금,9,0,2,4,3,4662325194.777778,8097092115.666667,-1.0,-1.0,0.5758024150122824,242,6등급,5등급,5등급
2025-12-08,금,9,1,1,4,3,6394107139.555555,5796792433.333333,0.0,0.0,1.1030422795178036,91,4등급,2등급,6등급
2025-12-10,금,9,0,1,2,6,20528791470.333332,8543665113.777778,-1.0,-2.0,2.402808536728338,180,6등급,6등급,6등급
2025-12-11,금,9,1,1,2,5,16475569477.0,20528791470.333332,1.0,0.0,0.8025591521453785,155,6등급,6등급,6등급
2025-12-12,금,9,1,1,3,4,6968168357.777778,16475569477.0,0.0,1.0,0.4229394539293701,158,6등급,6등급,5등급
2025-12-15,금,9,1,1,2,5,25966438295.88889,6968168357.777778,0.0,-1.0,3.726436699381049,131,6등급,5등급,6등급
2025-12-17,금,9,1,1,0,7,9459034282.0,25222461658.666668,0.0,0.0,0.3750242307831912,172,6등급,6등급,5등급
2025-12-18,금,9,0,5,1,3,8482100436.222222,9459034282.0,-1.0,1.0,0.8967194941203642,180,6등급,5등급,2등급
2025-12-23,금,9,1,2,3,3,18119047035.11111,26336465415.22222,-1.0,-3.0,0.6879832486799264,91,4등급,6등급,5등급
2025-12-24,금,9,0,5,3,1,30801452561.333332,18119047035.11111,-1.0,0.0,1.6999488163834577,177,6등급,5등급,4등급
2025-12-29,금,9,1,3,4,1,20426760991.333332,20846729576.333332,1.0,1.0,0.979854461897142,93,4등급,6등급,6등급
2025-12-30,금,9,1,3,1,4,10963983567.0,20426760991.333332,0.0,-3.0,0.5367460642268149,182,6등급,6등급,3등급
2026-01-02,금,9,1,3,2,3,11081361575.777779,10963983567.0,0.0,1.0,1.0107057811661693,192,6등급,3등급,3등급
2026-01-05,금,9,3,1,4,1,9026631595.0,11081361575.777779,2.0,2.0,0.8145778416553869,55,3등급,3등급,2등급
2026-01-06,금,9,2,2,5,0,23505308245.88889,9026631595.0,-1.0,1.0,2.603995521309285,55,3등급,2등급,4등급
2026-01-08,금,9,2,2,0,5,17749131474.77778,9778561176.88889,-2.0,0.0,1.8151066556424384,79,4등급,6등급,6등급
2026-01-09,금,9,2,2,1,4,57993841744.111115,17749131474.77778,0.0,1.0,3.2674185678619074,152,6등급,6등급,4등급
2026-01-12,금,9,3,1,2,3,24858597555.88889,57993841744.111115,1.0,1.0,0.42864202143347596,133,6등급,4등급,5등급
2026-01-13,금,9,3,2,3,1,29430250737.88889,24858597555.88889,0.0,1.0,1.1839063194020372,96,4등급,5등급,6등급
2026-01-15,금,9,1,2,3,3,27130541695.333332,21204854913.444443,-2.0,0.0,1.2794495320093817,203,6등급,6등급,6등급
2026-01-16,금,9,1,3,2,3,29781455886.555557,27130541695.333332,0.0,-1.0,1.0977095931585545,217,6등급,6등급,6등급
2026-01-19,금,9,1,4,3,1,27313467885.555557,29781455886.555557,0.0,1.0,0.9171300419159784,201,6등급,6등급,6등급
2026-01-20,금,9,2,3,4,0,19707706151.88889,27313467885.555557,1.0,1.0,0.7215380424948201,183,6등급,6등급,2등급
2026-01-21,금,9,0,6,2,1,18862385458.666668,19707706151.88889,-2.0,-2.0,0.9571070987811942,220,6등급,2등급,4등급
2026-01-23,금,9,4,1,3,1,27316127506.77778,22410714298.11111,0.0,0.0,1.2188869637716153,78,4등급,2등급,1등급
2026-01-30,금,9,0,0,3,6,29189937792.11111,48934908476.888885,0.0,-6.0,0.5965054130201759,154,6등급,5등급,6등급
2026-02-03,금,9,1,1,2,5,14330823914.444445,26718156320.11111,1.0,1.0,0.5363702398753256,183,6등급,6등급,6등급
2026-02-04,금,9,1,1,1,6,15307830666.88889,14330823914.444445,0.0,-1.0,1.0681751976213798,229,6등급,6등급,6등급
2026-02-05,금,9,0,2,0,7,12654989206.777779,15307830666.88889,-1.0,-1.0,0.8267003654639808,233,6등급,6등급,6등급
2026-02-06,금,9,0,4,0,5,12526484480.555555,12654989206.777779,0.0,0.0,0.9898455285798744,224,6등급,6등급,6등급
2026-02-09,금,9,2,3,2,2,12320874608.777779,12526484480.555555,2.0,2.0,0.9835859875851889,154,6등급,6등급,6등급
2026-02-10,금,9,1,5,2,1,10423522922.444445,12320874608.777779,-1.0,0.0,0.8460051135508189,214,6등급,6등급,2등급
2026-02-11,금,9,0,7,2,0,12208966801.11111,10423522922.444445,-1.0,0.0,1.171289869265041,240,6등급,2등급,6등급
2026-02-13,금,9,0,7,0,2,10306872819.333334,13763911164.555555,-4.0,-2.0,0.7488331402396223,245,6등급,6등급,2등급
2026-02-19,금,9,2,5,1,1,9858510967.777779,10306872819.333334,2.0,1.0,0.9564987499686102,212,6등급,2등급,1등급
2026-02-25,금,9,2,2,3,2,27033405397.555557,24213866747.555557,-3.0,0.0,1.1164431389416414,61,3등급,3등급,6등급
2026-02-26,금,9,1,2,3,3,18001576766.22222,27033405397.555557,-1.0,0.0,0.6659011878632938,68,3등급,6등급,1등급
2026-02-27,금,9,0,4,2,3,10063289050.444445,18001576766.22222,-1.0,-1.0,0.5590226445789452,152,6등급,1등급,6등급
2026-03-04,금,9,0,9,0,0,17131899955.333334,13861498726.444445,-1.0,-1.0,1.2359341723019994,204,6등급,6등급,6등급
2026-03-05,금,9,2,6,1,0,13169196195.333334,17131899955.333334,2.0,1.0,0.7686944372584682,156,6등급,6등급,6등급
2026-03-06,금,9,5,3,1,0,9108176054.11111,13169196195.333334,3.0,0.0,0.6916273338944335,153,6등급,6등급,6등급
2026-03-09,금,9,0,9,0,0,11977185941.444445,9108176054.11111,-5.0,-1.0,1.3149928010052423,232,6등급,6등급,2등급
2026-03-10,금,9,6,2,1,0,14378396252.333334,11977185941.444445,6.0,1.0,1.2004820099335707,135,6등급,2등급,2등급
2026-03-16,금,9,5,2,1,1,11857839130.444445,13271558474.88889,-2.0,-1.0,0.8934775183246684,150,6등급,4등급,4등급
2026-03-17,금,9,6,0,1,2,9416162147.88889,11857839130.444445,1.0,0.0,0.7940875267664355,94,4등급,4등급,4등급
