stock_code,stock_name,corp_cls,per,pbr,eps,bps,div
141000,비아트론,일반기업,7.97,0.6,1235.0,16310.0,1.02
138930,BNK금융지주,일반기업,7.99,0.52,2174.0,33604.0,3.74
216050,인크로스,대기업,8.03,0.65,806.0,9944.0,3.74
010640,진양폴리우레탄,일반기업,8.03,0.77,269.0,2791.0,11.57
009290,광동제약,일반기업,8.07,0.55,1011.0,14719.0,1.23
021320,KCC건설,대기업,8.1,0.25,800.0,25498.0,2.47
001750,한양증권,일반기업,8.14,0.63,3011.0,38947.0,3.88
051390,YW,일반기업,8.15,0.42,521.0,10063.0,4.71
290270,휴네시온,일반기업,8.17,0.71,428.0,4890.0,1.14
068290,삼성출판사,일반기업,8.17,0.5,1085.0,17639.0,2.26
111770,영원무역,대기업,8.2,0.94,9846.0,86238.0,1.73
316140,우리금융지주,일반기업,8.2,0.71,3950.0,45919.0,3.7
002880,대유에이텍,일반기업,8.2,0.96,111.0,946.0,0.0
034120,SBS,일반기업,8.21,0.31,1825.0,48749.0,0.0
241690,유니테크노,일반기업,8.21,0.63,434.0,5696.0,0.0
377450,리파인,일반기업,8.23,0.97,1342.0,11424.0,0.0
241590,화승엔터프라이즈,일반기업,8.24,0.52,546.0,8652.0,1.0
123890,한국자산신탁,대기업,8.24,0.29,306.0,8546.0,3.97
002290,삼일기업공사,일반기업,8.26,0.7,471.0,5558.0,5.14
068240,다원시스,일반기업,8.27,0.37,306.0,6749.0,0.0
006890,태경케미컬,일반기업,8.28,0.64,1113.0,14451.0,1.95
018250,애경산업,대기업,8.3,0.9,1689.0,15580.0,4.14
003010,혜인,일반기업,8.32,0.5,677.0,11189.0,3.2
042110,에스씨디,일반기업,8.34,0.54,174.0,2710.0,2.41
038390,레드캡투어,일반기업,8.34,0.78,1211.0,12899.0,22.77
171120,라이온켐텍,일반기업,8.36,0.56,250.0,3728.0,4.78
007530,와이엠,일반기업,8.37,0.9,273.0,2537.0,1.31
001200,유진증권,대기업,8.38,0.4,540.0,11448.0,2.21
109860,동일금속,일반기업,8.38,0.39,856.0,18294.0,4.46
068790,DMS,일반기업,8.38,0.49,847.0,14570.0,1.41
049480,오픈베이스,일반기업,8.39,0.74,251.0,2863.0,1.19
019550,SBI인베스트먼트,일반기업,8.45,0.7,71.0,853.0,0.0
294870,HDC현대산업개발,대기업,8.45,0.42,2427.0,48537.0,3.41
058430,포스코스틸리온,대기업,8.45,0.76,5719.0,63854.0,4.47
016740,두올,일반기업,8.46,0.58,530.0,7791.0,2.68
001800,오리온홀딩스,일반기업,8.48,0.57,2670.0,39410.0,3.53
029780,삼성카드,대기업,8.49,0.67,6228.0,79525.0,5.29
263770,유에스티,일반기업,8.51,0.57,235.0,3482.0,3.0
093190,빅솔론,일반기업,8.52,0.6,863.0,12326.0,2.72
078590,휴림에이텍,일반기업,8.55,0.82,86.0,892.0,0.0
270870,뉴트리,일반기업,8.58,0.39,534.0,11819.0,0.0
069260,티케이지휴켐스,일반기업,8.61,0.77,2024.0,22621.0,5.74
122900,아이마켓코리아,일반기업,8.62,0.65,857.0,11438.0,8.12
012330,현대모비스,대기업,8.65,0.76,44939.0,509212.0,1.54
456040,OCI,일반기업,8.65,0.7,10850.0,134902.0,2.34
182360,큐브엔터,일반기업,8.66,0.89,1159.0,11261.0,0.0
072870,메가스터디,일반기업,8.66,0.44,1412.0,27841.0,6.54
000890,보해양조,일반기업,8.67,0.68,49.0,626.0,0.0
039740,한국정보공학,일반기업,8.69,0.63,449.0,6190.0,0.0
000120,CJ대한통운,대기업,8.69,0.53,12088.0,197983.0,0.76
067830,세이브존I&C,일반기업,8.72,0.23,335.0,12843.0,1.03
000220,유유제약,일반기업,8.73,0.61,468.0,6671.0,2.45
