rank,industry,stock_count,avg_roe,avg_pbr_discount,undervalued_count,undervalue_density,z_fundamental,z_value,z_density,z_volume_surge,total_z_score
53,석유와가스,18,-1.411111111111111,1.286593185847888,2,11.11111111111111,0.29128298158030197,-0.46967179012648175,-0.9981751522154476,0.0,-0.452786703450033
54,에너지장비및서비스,27,-0.5781481481481483,1.4637649625144777,5,18.51851851851852,0.2912841594776957,-1.0153418591931902,-0.5900799188233674,0.0,-0.45324927744399524
55,조선,31,-3.7448387096774205,1.4070442100874128,5,16.129032258064516,0.29127968144358724,-0.8406480254645995,-0.721723542498232,0.0,-0.4534999202055965
56,전기유틸리티,5,9.719999999999999,1.5169842738299606,1,20.0,0.2912987221442289,-1.1792516298552038,-0.5084608721449514,0.0,-0.46977022117127304
57,백화점과일반상점,13,-0.7153846153846156,1.2451456009687378,0,0.0,0.2912839654108713,-0.34201767427813545,-1.610318002303568,0.0,-0.6593473135816065
58,반도체와반도체장비,162,-1.9635185185185187,1.5321001536167749,18,11.11111111111111,0.29128220041802416,-1.225806918301608,-0.9981751522154476,0.0,-0.6796274762512542
59,생물공학,53,-1362296.2449056602,1.2748969163209394,9,16.9811320754717,-1.6351454499264546,-0.43364853450037005,-0.674778929527384,0.0,-0.890549767139001
60,은행,11,6.721818181818182,1.5110992933161649,0,0.0,0.2912944823992383,-1.1611265210831545,-1.610318002303568,0.0,-0.905076812526602
61,창업투자,94,1.5743617021276597,1.6700293852141463,5,5.319148936170213,0.29128720335342057,-1.6506141576267002,-1.3172708932188295,0.0,-0.9347064435695157
62,건설,76,-1425000.560131579,1.3695489293783596,12,15.789473684210526,-1.7238159584190307,-0.7251665825444477,-0.7404307942836075,0.0,-1.0308670800024864
63,전기장비,31,6.387096774193548,1.7718915459453917,1,3.225806451612903,0.2912940090679004,-1.964338687161118,-1.4325991103425006,0.0,-1.0749530475649656
64,도로와철도운송,7,0.9214285714285714,1.7172280604998214,0,0.0,0.29128628003717827,-1.795981015077468,-1.610318002303568,0.0,-1.0955356214335141
65,생명보험,5,8.354,1.7431928453866867,0,0.0,0.291296790476302,-1.8759497676016381,-1.610318002303568,0.0,-1.119523094059028
66,복합기업,23,3.2434782608695656,1.8799481025116367,1,4.3478260869565215,0.29128956366009906,-2.297141291469667,-1.370783843573434,0.0,-1.150069055772244
67,통신장비,49,-28.496326530612244,1.989115046174941,4,8.16326530612245,0.29124468023189837,-2.633363768939409,-1.1605803981571936,0.0,-1.1668678858751307
68,증권,38,5.8968421052631586,1.8693138939651806,0,0.0,0.2912933157961434,-2.2643890697490794,-1.610318002303568,0.0,-1.2360559271073082
69,우주항공과국방,32,-1128126.153125,2.137094411959506,1,3.125,-1.3040042671046135,-3.089124343605128,-1.4381528257162841,0.0,-1.893199713499436
70,무역회사와판매업체,7,-5157137.411428571,1.066964589418609,0,0.0,-7.001450698166509,0.20676072998149525,-1.610318002303568,0.0,-2.682534191376931
