date,wics_name,stock_code,stock_name,total_score,industry_rank,2024-02-01,2024-05-01,2024-08-01,2024-11-01,2025-02-01,3개월,6개월,9개월,12개월
2024-02-01,조선,009540,HD한국조선해양,71.85,1,114700.0,129500.0,213000.0,180000.0,226000.0,12.903225806451612,85.70183086312119,56.931124673060154,97.0357454228422
2024-02-01,조선,101930,인화정공,71.22,2,10720.0,13080.0,23800.0,22800.0,37000.0,22.01492537313433,122.01492537313432,112.68656716417911,245.1492537313433
2024-02-01,조선,054180,메디콕스,61.34,3,11730.0,9960.0,9570.0,5025.0,4230.0,-15.089514066496163,-18.414322250639387,-57.1611253196931,-63.9386189258312
2024-02-01,증권,030610,교보증권,90.84,1,5260.0,5030.0,5170.0,5350.0,5350.0,-4.3726235741444865,-1.7110266159695817,1.7110266159695817,1.7110266159695817
2024-02-01,증권,001270,부국증권,82.26,2,24350.0,23800.0,26400.0,28050.0,27300.0,-2.2587268993839835,8.41889117043121,15.195071868583163,12.114989733059549
2024-02-01,증권,001720,신영증권,78.63,3,63000.0,67300.0,73200.0,81500.0,75300.0,6.825396825396825,16.19047619047619,29.365079365079367,19.523809523809526
2024-02-01,철강,069730,DSR제강,82.84,1,4210.0,4220.0,4395.0,3550.0,3500.0,0.23752969121140144,4.394299287410926,-15.676959619952493,-16.864608076009503
2024-02-01,철강,000590,CS홀딩스,82.27,2,68400.0,65500.0,68500.0,69700.0,67500.0,-4.239766081871345,0.14619883040935672,1.9005847953216373,-1.3157894736842104
2024-02-01,철강,012620,원일특강,79.34,3,8820.0,8310.0,7780.0,7130.0,7220.0,-5.782312925170068,-11.791383219954648,-19.160997732426306,-18.140589569160998
2024-02-01,출판,127710,아시아경제,73.03,1,1213.0,1214.0,1056.0,1333.0,1549.0,0.08244023083264633,-12.943116240725475,9.892827699917559,27.699917559769165
2024-02-01,출판,068290,삼성출판사,41.45,2,20450.0,18680.0,17150.0,13900.0,14730.0,-8.65525672371638,-16.13691931540342,-32.02933985330073,-27.970660146699267
2024-02-01,출판,016880,웅진,40.6,3,1206.0,1131.0,1116.0,902.0,866.0,-6.218905472636816,-7.462686567164178,-25.207296849087896,-28.192371475953564
2024-02-01,화학,003240,태광산업,86.91,1,943000.0,658000.0,615000.0,652000.0,621000.0,-30.22269353128314,-34.78260869565217,-30.858960763520678,-34.146341463414636
2024-02-01,화학,003650,미창석유,85.68,2,77500.0,79900.0,87000.0,94500.0,88200.0,3.096774193548387,12.258064516129032,21.935483870967744,13.806451612903226
2024-02-01,화학,027410,BGF,85.35,3,4040.0,3740.0,3680.0,3570.0,3310.0,-7.425742574257425,-8.91089108910891,-11.633663366336634,-18.06930693069307
2024-02-01,문구류,005360,모나미,13.91,1,3035.0,2770.0,2730.0,2195.0,2045.0,-8.731466227347612,-10.049423393739703,-27.677100494233937,-32.61943986820428
2024-02-01,부동산,123890,한국자산신탁,80.67,1,3295.0,3095.0,3060.0,2905.0,2775.0,-6.0698027314112295,-7.132018209408194,-11.836115326251896,-15.781487101669194
2024-02-01,부동산,033560,블루콤,68.42,2,3095.0,3605.0,3270.0,3355.0,3090.0,16.478190630048463,5.654281098546042,8.40064620355412,-0.16155088852988692
2024-02-01,부동산,005110,한창,42.81,3,1226.0,1254.0,1254.0,1254.0,1254.0,2.2838499184339316,2.2838499184339316,2.2838499184339316,2.2838499184339316
2024-02-01,자동차,067990,도이치모터스,44.75,1,5060.0,5200.0,4870.0,4610.0,4295.0,2.766798418972332,-3.7549407114624502,-8.893280632411066,-15.118577075098813
2024-02-01,포장재,005820,원림,75.34,1,18730.0,18490.0,16280.0,15400.0,14470.0,-1.2813667912439934,-13.080619327282433,-17.77896422851041,-22.744260544580886
2024-02-01,포장재,004450,삼화왕관,68.42,2,33450.0,33100.0,31700.0,30850.0,30200.0,-1.046337817638266,-5.23168908819133,-7.772795216741405,-9.715994020926756
2024-02-01,포장재,002870,신풍,61.79,3,834.0,869.0,1014.0,904.0,1295.0,4.1966426858513195,21.58273381294964,8.393285371702639,55.275779376498804
2024-02-01,항공사,180640,한진칼,69.53,1,74100.0,59800.0,67400.0,83600.0,78500.0,-19.298245614035086,-9.041835357624832,12.82051282051282,5.937921727395412
2024-02-01,항공사,298690,에어부산,21.66,2,3020.0,2780.0,2480.0,2330.0,2315.0,-7.9470198675496695,-17.880794701986755,-22.8476821192053,-23.344370860927153
2024-02-01,해운사,129260,인터지스,59.63,1,2605.0,2295.0,2310.0,2210.0,2300.0,-11.900191938579654,-11.324376199616124,-15.163147792706333,-11.708253358925145
2024-02-01,해운사,003280,흥아해운,26.66,2,3080.0,2545.0,2650.0,1878.0,1714.0,-17.37012987012987,-13.96103896103896,-39.02597402597402,-44.35064935064935
2024-02-01,핸드셋,000670,영풍,81.37,1,51626.0,39131.0,30511.0,38260.0,40500.0,-24.202921008794018,-40.89993414171154,-25.890055398442648,-21.551156394065003
2024-02-01,핸드셋,081580,성우전자,78.83,2,2280.0,2415.0,3355.0,4490.0,2900.0,5.921052631578947,47.14912280701755,96.9298245614035,27.192982456140353
2024-02-01,핸드셋,376290,씨유테크,67.09,3,3630.0,3330.0,3455.0,3155.0,2935.0,-8.264462809917356,-4.820936639118457,-13.085399449035812,-19.146005509641874
2024-02-01,화장품,002790,아모레퍼시픽홀딩스,65.32,1,25800.0,33600.0,31400.0,23150.0,23050.0,30.23255813953488,21.705426356589147,-10.271317829457365,-10.65891472868217
2024-02-01,화장품,226320,잇츠한불,61.15,2,11670.0,12590.0,13350.0,11780.0,11690.0,7.883461868037704,14.395886889460154,0.9425878320479864,0.17137960582690662
2024-02-01,화장품,025620,차AI헬스케어,58.45,3,5760.0,7000.0,5750.0,4995.0,3780.0,21.52777777777778,-0.1736111111111111,-13.28125,-34.375
2024-02-01,가정용품,009770,삼정펄프,85.61,1,25650.0,25000.0,26500.0,26800.0,25350.0,-2.53411306042885,3.313840155945419,4.483430799220272,-1.1695906432748537
2024-02-01,가정용품,053620,태양,65.94,2,7090.0,7280.0,6950.0,6270.0,6230.0,2.6798307475317347,-1.9746121297602257,-11.56558533145275,-12.129760225669958
2024-02-01,가정용품,012690,모나리자,40.09,3,2850.0,3740.0,3140.0,3900.0,2950.0,31.2280701754386,10.175438596491228,36.84210526315789,3.508771929824561
2024-02-01,건축자재,003300,한일홀딩스,78.8,1,11530.0,12810.0,13920.0,13990.0,13860.0,11.101474414570685,20.728534258456204,21.335646140503037,20.2081526452732
2024-02-01,건축자재,000320,노루홀딩스,75.04,2,11900.0,12250.0,13700.0,12900.0,12870.0,2.941176470588235,15.126050420168067,8.403361344537815,8.15126050420168
2024-02-01,건축자재,000860,강남제비스코,74.88,3,10004.0,13681.0,13806.0,12655.0,12455.0,36.75529788084766,38.00479808076769,26.499400239904038,24.50019992003199
2024-02-01,건축제품,005750,대림바스,74.4,1,3570.0,4140.0,3965.0,3480.0,3570.0,15.966386554621847,11.064425770308123,-2.5210084033613445,0.0
2024-02-01,건축제품,018310,삼목에스폼,72.8,2,16730.0,19570.0,20950.0,20900.0,19200.0,16.975493126120742,25.22414823670054,24.92528392109982,14.763897190675435
2024-02-01,건축제품,006570,대림통상,46.34,3,2945.0,2880.0,2965.0,2730.0,2590.0,-2.2071307300509337,0.6791171477079796,-7.30050933786078,-12.054329371816639
2024-02-01,기타금융,007330,푸른저축은행,66.13,1,9540.0,9250.0,8690.0,8820.0,8110.0,-3.039832285115304,-8.90985324947589,-7.547169811320755,-14.9895178197065
2024-02-01,기타금융,023760,한국캐피탈,60.09,2,596.0,619.0,600.0,559.0,528.0,3.859060402684564,0.6711409395973155,-6.208053691275168,-11.409395973154362
2024-02-01,기타금융,038540,상상인,54.23,3,3590.0,3330.0,2810.0,1610.0,1467.0,-7.242339832869081,-21.72701949860724,-55.15320334261838,-59.13649025069638
2024-02-01,복합기업,402340,SK스퀘어,84.55,1,53600.0,75000.0,83300.0,83900.0,87600.0,39.92537313432835,55.41044776119403,56.529850746268664,63.43283582089553
2024-02-01,복합기업,004800,효성,77.36,2,50149.0,46220.0,45200.0,50400.0,44750.0,-7.834652734850146,-9.868591597040819,0.5005084847155477,-10.76591756565435
2024-02-01,복합기업,004150,한솔홀딩스,77.05,3,2970.0,2815.0,2680.0,2285.0,2300.0,-5.218855218855219,-9.764309764309765,-23.063973063973066,-22.55892255892256
2024-02-01,비철금속,032560,황금에스티,85.71,1,7360.0,6800.0,6100.0,5270.0,4890.0,-7.608695652173914,-17.119565217391305,-28.396739130434785,-33.559782608695656
2024-02-01,비철금속,005810,풍산홀딩스,79.64,2,25871.0,32250.0,26950.0,27300.0,25200.0,24.656951799311972,4.1706930539986855,5.523559197557111,-2.5936376637934364
2024-02-01,비철금속,009160,SIMPAC,76.89,3,4180.0,4175.0,3775.0,4030.0,3925.0,-0.11961722488038277,-9.688995215311005,-3.588516746411483,-6.100478468899522
2024-02-01,생물공학,084990,헬릭스미스,48.27,1,3395.0,4430.0,4045.0,3635.0,2535.0,30.486008836524302,19.145802650957293,7.069219440353461,-25.331369661266567
2024-02-01,생물공학,185490,아이진,46.57,2,3190.0,3080.0,3375.0,2875.0,2570.0,-3.4482758620689653,5.799373040752351,-9.87460815047022,-19.435736677115987
2024-02-01,생물공학,352770,셀레스트라,40.09,3,32550.0,26100.0,19950.0,9450.0,7125.0,-19.81566820276498,-38.70967741935484,-70.96774193548387,-78.11059907834101
2024-02-01,손해보험,000540,흥국화재,59.65,1,4370.0,4330.0,4320.0,3455.0,3185.0,-0.9153318077803204,-1.1441647597254003,-20.938215102974826,-27.11670480549199
2024-02-01,전기장비,015860,일진홀딩스,80.43,1,3960.0,4365.0,4030.0,3990.0,3695.0,10.227272727272728,1.7676767676767675,0.7575757575757576,-6.691919191919192
2024-02-01,전기장비,017040,광명전기,54.93,2,2180.0,2730.0,2100.0,1374.0,1451.0,25.229357798165136,-3.669724770642202,-36.972477064220186,-33.440366972477065
2024-02-01,전기장비,267260,HD현대일렉트릭,48.28,3,99200.0,239500.0,320500.0,322500.0,408500.0,141.43145161290323,223.08467741935485,225.1008064516129,311.7943548387097
2024-02-01,전기제품,002230,피에스텍,68.78,1,3625.0,3815.0,4025.0,3610.0,4005.0,5.241379310344827,11.03448275862069,-0.41379310344827586,10.482758620689655
2024-02-01,전기제품,042110,에스씨디,66.83,2,1762.0,1505.0,1480.0,1463.0,1415.0,-14.585698070374576,-16.00454029511918,-16.969353007945518,-19.693530079455165
2024-02-01,전기제품,313760,캐리,55.45,3,10000.0,7460.0,3565.0,6720.0,3600.0,-25.4,-64.35,-32.800000000000004,-64.0
2024-02-01,전문소매,064240,홈캐스트,65.29,1,2760.0,2995.0,3080.0,2630.0,2060.0,8.51449275362319,11.594202898550725,-4.710144927536232,-25.36231884057971
2024-02-01,전문소매,002420,세기상사,28.36,2,6490.0,8180.0,6000.0,5930.0,5100.0,26.040061633281976,-7.550077041602465,-8.628659476117104,-21.417565485362093
2024-02-01,전자제품,092600,앤씨앤,56.5,1,1420.0,1692.0,1220.0,1185.0,1008.0,19.154929577464788,-14.084507042253522,-16.549295774647888,-29.014084507042252
2024-02-01,전자제품,009140,경인전자,56.01,2,22800.0,23950.0,21850.0,20550.0,19150.0,5.0438596491228065,-4.166666666666666,-9.868421052631579,-16.00877192982456
2024-02-01,전자제품,115160,휴맥스,55.95,3,3035.0,2470.0,1930.0,1680.0,1212.0,-18.616144975288304,-36.40856672158155,-44.64579901153213,-60.06589785831961
2024-02-01,창업투자,246690,TS인베스트먼트,65.05,1,1268.0,1280.0,1158.0,986.0,936.0,0.9463722397476341,-8.675078864353312,-22.239747634069403,-26.18296529968454
2024-02-01,창업투자,016600,큐캐피탈,63.73,2,341.0,314.0,323.0,272.0,263.0,-7.9178885630498534,-5.278592375366569,-20.234604105571847,-22.87390029325513
2024-02-01,창업투자,241520,DSC인베스트먼트,63.61,3,3290.0,3635.0,3120.0,2815.0,2740.0,10.486322188449847,-5.167173252279635,-14.437689969604865,-16.717325227963524
2024-02-01,통신장비,073540,에프알텍,60.44,1,2355.0,1821.0,1459.0,1252.0,1406.0,-22.67515923566879,-38.04670912951168,-46.83651804670913,-40.297239915074314
2024-02-01,통신장비,056360,코위버,55.47,2,6090.0,6090.0,4670.0,4855.0,5880.0,0.0,-23.316912972085387,-20.279146141215108,-3.4482758620689653
2024-02-01,통신장비,033240,자화전자,49.86,3,27950.0,25750.0,20600.0,15790.0,17030.0,-7.8711985688729875,-26.29695885509839,-43.506261180679786,-39.06976744186046
2024-02-01,판매업체,051390,YW,71.9,1,3700.0,3750.0,3675.0,3810.0,3685.0,1.3513513513513513,-0.6756756756756757,2.9729729729729732,-0.40540540540540543
2024-02-01,판매업체,019660,글로본,65.3,2,2438.0,2468.0,1799.0,1327.0,2033.0,1.2305168170631664,-26.210008203445444,-45.5701394585726,-16.611977030352747
2024-02-01,판매업체,003580,HLB글로벌,55.37,3,5530.0,6520.0,5600.0,3965.0,4320.0,17.90235081374322,1.2658227848101267,-28.3001808318264,-21.880650994575046
2024-02-01,교육서비스,072870,메가스터디,78.6,1,10990.0,11280.0,11300.0,11220.0,10870.0,2.6387625113739763,2.820746132848044,2.0928116469517746,-1.0919017288444042
2024-02-01,교육서비스,067280,멀티캠퍼스,64.64,2,35800.0,35250.0,32100.0,29000.0,29150.0,-1.536312849162011,-10.335195530726256,-18.994413407821227,-18.575418994413408
2024-02-01,교육서비스,133750,메가엠디,64.04,3,2750.0,2390.0,2130.0,2160.0,2060.0,-13.090909090909092,-22.545454545454547,-21.454545454545453,-25.09090909090909
2024-02-01,석유와가스,006120,SK디스커버리,82.2,1,41100.0,45250.0,38550.0,34250.0,34800.0,10.097323600973237,-6.204379562043796,-16.666666666666664,-15.328467153284672
2024-02-01,석유와가스,078930,GS,77.05,2,49700.0,44000.0,48750.0,41550.0,38050.0,-11.468812877263582,-1.9114688128772637,-16.398390342052313,-23.440643863179076
2024-02-01,석유와가스,012700,리드코프,71.63,3,5830.0,5300.0,4845.0,4325.0,3795.0,-9.090909090909092,-16.895368782161235,-25.8147512864494,-34.90566037735849
2024-02-01,소프트웨어,078000,텔코웨어,84.23,1,10120.0,10330.0,10400.0,9950.0,8880.0,2.075098814229249,2.766798418972332,-1.6798418972332017,-12.25296442687747
2024-02-01,소프트웨어,039310,세중,77.17,2,2385.0,1920.0,1855.0,1673.0,1724.0,-19.49685534591195,-22.22222222222222,-29.853249475890987,-27.714884696016775
2024-02-01,소프트웨어,136540,윈스테크넷,66.4,3,12990.0,12500.0,13420.0,12880.0,10930.0,-3.7721324095458044,3.3102386451116246,-0.8468052347959968,-15.858352578906851
2024-02-01,운송인프라,003100,선광,88.8,1,19800.0,17970.0,16890.0,15610.0,15750.0,-9.242424242424242,-14.696969696969697,-21.161616161616163,-20.454545454545457
2024-02-01,운송인프라,038620,위즈코프,52.98,2,770.0,760.0,687.0,601.0,844.0,-1.2987012987012987,-10.779220779220779,-21.948051948051948,9.61038961038961
2024-02-01,운송인프라,045340,토탈소프트,49.02,3,4460.0,5390.0,5060.0,5550.0,6960.0,20.85201793721973,13.452914798206278,24.43946188340807,56.05381165919282
2024-02-01,자동차부품,036530,SNT홀딩스,90.67,1,20100.0,22650.0,23500.0,22700.0,26400.0,12.686567164179104,16.91542288557214,12.935323383084576,31.343283582089555
2024-02-01,자동차부품,024830,세원물산,86.93,2,7160.0,7400.0,6600.0,6150.0,8520.0,3.35195530726257,-7.82122905027933,-14.106145251396649,18.994413407821227
2024-02-01,자동차부품,021820,세원정공,85.88,3,8060.0,8130.0,8080.0,6790.0,7600.0,0.8684863523573202,0.24813895781637718,-15.75682382133995,-5.707196029776675
2024-02-01,종이와목재,000180,성창기업지주,75.18,1,2120.0,1979.0,1670.0,1399.0,1375.0,-6.650943396226415,-21.22641509433962,-34.009433962264154,-35.14150943396226
2024-02-01,종이와목재,213500,한솔제지,69.43,2,10940.0,10950.0,10290.0,9170.0,8390.0,0.09140767824497258,-5.941499085923217,-16.179159049360145,-23.308957952468006
