wics_name,stock_code,stock_name,per,roe,report_count,total_score,3개월,6개월,9개월,12개월
통신장비,015710,코콤,21.12,2.0,0,45.98,10.219922380336351,1.1642949547218628,-9.055627425614489,-3.363518758085381
판매업체,051160,지어소프트,13.89,9.0,0,54.72,27.92413066385669,-18.335089567966282,-16.227608008429925,-15.17386722866175
판매업체,051390,YW,5.82,6.0,0,44.02,5.248618784530387,7.596685082872928,7.734806629834254,13.674033149171272
판매업체,019660,글로본,0.0,5.0,0,25.79,-6.9585613760750595,9.06958561376075,2.2283033620015638,-15.559030492572322
교육서비스,067280,멀티캠퍼스,6.16,12.0,0,66.86,8.244274809160306,-0.7633587786259541,-5.038167938931298,-16.793893129770993
교육서비스,339950,아이비김영,11.47,32.0,0,60.46,-0.9685230024213075,-4.842615012106537,-5.520581113801453,16.46489104116223
교육서비스,072870,메가스터디,5.42,8.0,0,58.81,7.580174927113703,9.329446064139942,6.41399416909621,17.978620019436345
석유와가스,010950,S-Oil,6.96,2.01,1,67.48,8.994708994708994,10.052910052910052,41.622574955908284,87.83068783068782
석유와가스,024060,흥구석유,148.72,1.0,0,59.33,7.327586206896551,6.379310344827586,1.1206896551724137,86.63793103448276
석유와가스,014530,극동유화,7.61,0.55,0,56.71,4.04191616766467,-1.9461077844311379,-2.844311377245509,14.071856287425149
소프트웨어,078000,텔코웨어,9.19,5.56,0,58.92,76.40320733104238,75.37227949599084,72.85223367697594,92.55441008018327
소프트웨어,131370,알서포트,23.13,2.0,0,56.47,-2.9548989113530326,-10.57542768273717,-22.08398133748056,-19.906687402799378
소프트웨어,136540,윈스테크넷,6.4,10.0,0,55.0,17.86046511627907,14.604651162790697,5.3023255813953485,4.465116279069767
운송인프라,045340,토탈소프트,22.19,25.0,0,65.07,-30.479102956167175,-17.533129459734965,-23.547400611620795,-31.906218144750255
운송인프라,003100,선광,3.09,10.0,0,55.18,33.85579937304075,16.739811912225704,19.3730407523511,25.203761755485893
운송인프라,038620,위즈코프,34.09,5.0,0,48.46,-20.28061224489796,-24.23469387755102,-23.596938775510203,-38.52040816326531
자동차부품,005850,에스엘,5.21,12.81,1,80.78,-16.205533596837945,-10.540184453227932,10.144927536231885,42.81949934123847
자동차부품,015750,성우하이텍,2.6,11.0,0,72.25,8.152173913043478,-1.2681159420289856,23.18840579710145,52.53623188405797
자동차부품,378850,화승알앤에이,2.49,11.49,0,72.17,2.8391167192429023,3.1545741324921135,4.574132492113565,2.365930599369085
종이와목재,213500,한솔제지,109.05,0.56,0,54.73,10.037174721189592,5.204460966542751,1.6109045848822798,5.080545229244114
종이와목재,001020,페이퍼코리아,4.4,-7.06,0,42.15,5.077574047954866,1.4104372355430184,-14.104372355430183,-15.514809590973202
종이와목재,004545,깨끗한나라우,0.0,0.0,0,40.92,-0.990916597853014,-1.1560693641618496,-1.981833195706028,-14.203137902559867
가스유틸리티,017940,E1,1.64,5.29,1,69.65,38.308457711442784,22.553897180762853,33.99668325041459,63.847429519071305
가스유틸리티,267290,경동도시가스,3.36,7.13,0,61.77,19.770773638968482,14.899713467048711,16.9054441260745,22.636103151862464
가스유틸리티,016710,대성홀딩스,0.73,3.82,0,59.87,50.786838340486405,18.4549356223176,20.74391988555079,20.314735336194563
건강관리기술,035610,솔본,2.13,10.0,0,46.18,13.132694938440492,12.448700410396716,0.0,-6.703146374829001
건강관리기술,071200,인피니트헬스케어,6.47,15.0,0,40.23,29.330708661417322,15.551181102362206,15.354330708661418,18.11023622047244
건강관리기술,032620,유비케어,0.0,31.0,0,39.72,15.765765765765765,20.27027027027027,12.162162162162163,17.117117117117118
전기유틸리티,130660,한전산업,20.8,3.71,0,17.65,40.505050505050505,18.383838383838384,4.242424242424243,81.51515151515152
도로와철도운송,024800,유성티엔에스,1.07,11.0,0,65.84,65.66265060240963,33.62541073384447,33.89923329682366,110.8433734939759
도로와철도운송,095570,AJ네트웍스,10.14,6.31,0,44.89,11.693548387096774,14.919354838709678,23.521505376344088,36.55913978494624
도로와철도운송,084670,동양고속,0.0,5.63,0,23.22,24.892703862660944,17.02432045779685,947.2103004291846,461.516452074392
디스플레이패널,191410,육일씨엔에쓰,0.0,7.0,0,52.78,-1.5384615384615385,-14.588859416445624,57.02917771883289,21.750663129973475
디스플레이패널,034220,LG디스플레이,0.0,3.44,0,38.66,3.859250851305335,63.7911464245176,34.27922814982974,26.901248581157777
디스플레이패널,020760,일진디스플,0.0,-19.68,0,16.22,26.522842639593907,14.467005076142131,14.467005076142131,14.467005076142131
무선통신서비스,032640,LG유플러스,7.11,6.01,2,75.73,39.6116504854369,48.834951456310684,40.09708737864078,50.48543689320388
무선통신서비스,006490,인스코비,0.0,-85.56,0,8.9,16.56298600311042,-47.58942457231726,-56.143079315707624,-66.1741835147745
사무용전자제품,029530,신도리코,5.99,1.88,0,42.36,34.99344692005242,14.941022280471822,23.197903014416777,31.061598951507207
우주항공과국방,010820,퍼스텍,35.89,17.33,0,44.9,11.46589259796807,33.09143686502177,16.110304789550074,112.19158200290276
우주항공과국방,035460,기산텔레콤,8.78,8.0,0,43.44,11.394992335206949,-9.351047521716914,-1.0219724067450178,30.30148185998978
우주항공과국방,067390,아스트,0.0,-3.0,0,34.65,1.4285714285714286,-4.821428571428572,5.892857142857142,26.785714285714285
전자장비와기기,011070,LG이노텍,6.65,6.14,2,79.17,-5.35264483627204,18.702770780856422,68.45088161209067,106.8639798488665
전자장비와기기,248070,솔루엠,6.84,2.74,1,68.35,-4.925816023738872,1.7804154302670623,-3.5608308605341246,-5.103857566765579
전자장비와기기,094840,슈프리마에이치큐,1.65,6.0,0,64.29,12.898330804248861,0.15174506828528073,3.490136570561457,17.754172989377846
가정용기기와용품,284740,쿠쿠홈시스,4.21,11.7,0,57.41,24.285714285714285,24.047619047619047,12.857142857142856,9.761904761904763
가정용기기와용품,044340,위닉스,9.37,-12.0,0,57.37,18.54974704890388,-7.75716694772344,-6.913996627318718,-19.477234401349072
가정용기기와용품,021240,코웨이,12.21,18.14,0,55.15,23.329129886506937,23.833543505674655,7.818411097099622,-9.331651954602775
게임엔터테인먼트,192080,더블유게임즈,6.69,11.33,2,79.52,12.720156555772993,0.3913894324853229,6.653620352250488,-3.816046966731898
게임엔터테인먼트,462870,시프트업,17.48,0.0,2,63.83,-8.476190476190476,-23.333333333333332,-31.9047619047619,-38.57142857142858
게임엔터테인먼트,095660,네오위즈,9.45,10.0,0,62.06,11.333333333333332,12.222222222222221,12.88888888888889,5.111111111111112
레저용장비와제품,121440,골프존홀딩스,4.93,3.0,0,68.2,33.78839590443686,20.591581342434583,10.12514220705347,8.0773606370876
레저용장비와제품,024950,삼천리자전거,9.29,6.0,0,61.1,12.640801001251564,19.64956195244055,3.379224030037547,3.128911138923655
레저용장비와제품,039830,오로라,8.75,13.0,0,46.92,166.66666666666669,303.2520325203252,130.8943089430894,54.63414634146342
백화점과일반상점,067830,세이브존I&C,6.14,2.64,0,56.1,25.5079006772009,18.284424379232505,49.20993227990971,35.66591422121896
백화점과일반상점,023530,롯데쇼핑,10.23,0.34,0,51.02,30.69139966273187,17.706576728499158,15.682967959527824,72.51264755480608
백화점과일반상점,950170,JTC,,44.0,0,44.03,29.9009900990099,36.23762376237624,-24.257425742574256,-4.158415841584159
컴퓨터와주변기기,004920,씨아이테크,0.0,22.84,0,50.32,9.744990892531877,20.127504553734063,5.737704918032787,-4.280510018214937
컴퓨터와주변기기,049480,오픈베이스,13.77,9.0,0,46.12,22.100656455142232,10.065645514223196,2.8446389496717726,-7.87746170678337
컴퓨터와주변기기,049550,잉크테크,20.0,3.0,0,43.91,-12.698412698412698,-20.37037037037037,-15.608465608465607,-14.682539682539684
건강관리장비와용품,100120,뷰웍스,14.85,9.0,0,63.66,-8.823529411764707,-16.428571428571427,-17.26890756302521,7.9831932773109235
건강관리장비와용품,100700,세운메디칼,6.86,8.0,0,62.96,14.587737843551796,5.2854122621564485,1.9027484143763214,14.376321353065538
건강관리장비와용품,056090,시지메드텍,44.57,7.0,0,62.83,10.363247863247864,14.209401709401709,33.01282051282051,128.63247863247864
다각화된통신서비스,030200,KT,12.05,10.22,3,50.49,17.659137577002053,3.696098562628337,5.338809034907597,21.971252566735114
무역회사와판매업체,383800,LX홀딩스,6.35,7.01,0,55.52,55.03875968992248,18.91472868217054,23.25581395348837,22.48062015503876
무역회사와판매업체,001250,GS글로벌,7.6,3.71,0,52.29,7.421875,-2.9296875,-10.15625,1.3671875
무역회사와판매업체,011760,현대코퍼레이션,3.21,12.91,0,45.97,28.125,-5.803571428571429,-4.464285714285714,11.383928571428571
반도체와반도체장비,064760,티씨케이,16.09,15.0,1,72.95,25.23696682464455,112.55924170616115,73.10426540284361,155.33175355450237
반도체와반도체장비,195870,해성디에스,5.17,4.25,1,70.97,7.212475633528265,38.79142300194932,113.64522417153997,103.89863547758284
반도체와반도체장비,241790,티이엠씨씨엔에스,3.91,4.0,0,66.82,39.961759082217974,66.73040152963671,32.122370936902485,39.38814531548757
방송과엔터테인먼트,037270,YG PLUS,14.79,12.69,0,60.93,75.14910536779324,50.09940357852882,50.09940357852882,-1.2922465208747516
방송과엔터테인먼트,058400,KNN,12.24,5.0,0,52.75,-0.25940337224383914,-7.392996108949417,-7.782101167315175,-7.263294422827498
방송과엔터테인먼트,068050,팬엔터테인먼트,9.46,-11.0,0,51.67,-11.50943396226415,-22.452830188679247,-25.396226415094343,-40.56603773584906
상업서비스와공급품,130580,나이스디앤비,7.0,12.0,0,66.06,15.588547189819725,18.769883351007426,31.919406150583246,15.37645811240721
상업서비스와공급품,092130,이크레더블,14.87,28.0,0,66.0,11.379310344827587,17.517241379310345,12.96551724137931,1.103448275862069
상업서비스와공급품,377450,리파인,9.9,13.0,0,65.78,10.147058823529411,2.941176470588235,-6.176470588235294,-18.014705882352942
에너지장비및서비스,100090,SK오션플랜트,12.26,4.96,1,71.33,51.95924764890282,96.70846394984326,54.075235109717866,122.17868338557993
에너지장비및서비스,126720,수산인더스트리,5.57,9.17,0,59.81,40.526315789473685,10.526315789473683,9.736842105263158,36.05263157894737
에너지장비및서비스,101970,우양에이치씨,26.61,17.0,0,49.11,-32.87981859410431,-3.00453514739229,-30.158730158730158,-32.709750566893426
항공화물운송과물류,086280,현대글로비스,8.31,18.13,2,75.29,15.98639455782313,39.20068027210885,53.826530612244895,79.8469387755102
항공화물운송과물류,009180,한솔로지스틱스,3.13,11.59,0,67.73,24.46555819477435,35.15439429928741,29.453681710213775,37.76722090261283
항공화물운송과물류,033290,로젠,4.0,6.0,0,53.84,12.189054726368159,5.970149253731343,7.462686567164178,-0.5472636815920399
건강관리업체및서비스,044820,코스맥스비티아이,11.0,11.08,0,70.68,86.19367209971237,75.45541706615532,33.17353787152445,55.22531160115053
