wics_name,stock_code,stock_name,total_score,industry_rank,3개월,6개월,9개월,12개월
화학,092230,KPX홀딩스,80.06,2,24.863883847549907,20.87114337568058,30.30852994555354,46.82395644283122
화학,196700,웹스,76.45,3,19.124797406807133,14.6677471636953,77.87682333873582,66.53160453808752
문구류,005360,모나미,23.41,1,6.889564336372847,1.3171225937183384,-0.9625126646403243,-13.42451874366768
부동산,123890,한국자산신탁,64.67,1,7.337526205450734,-2.515723270440252,0.628930817610063,8.385744234800839
부동산,033560,블루콤,61.24,2,-7.428571428571429,-3.1428571428571432,-11.142857142857142,-5.142857142857142
부동산,210980,SK디앤디,53.23,3,22.991347342398022,56.61310259579728,67.86155747836835,62.17552533992583
자동차,067990,도이치모터스,30.39,1,4.772727272727273,5.909090909090909,-1.4772727272727273,1.5909090909090908
포장재,023600,삼보판지,73.23,1,27.918781725888326,23.096446700507613,20.17766497461929,23.604060913705585
포장재,017650,대림제지,71.83,2,14.19656786271451,13.72854914196568,28.23712948517941,34.945397815912635
포장재,005820,원림,70.54,3,17.56559766763848,2.3323615160349855,9.329446064139942,11.370262390670554
항공사,003490,대한항공,70.86,1,6.511627906976744,5.5813953488372094,3.255813953488372,14.883720930232558
항공사,180640,한진칼,46.0,2,48.9281210592686,24.08575031525851,52.585119798234544,47.540983606557376
항공사,298690,에어부산,40.99,3,4.368932038834951,-6.893203883495145,-14.563106796116504,-10.145631067961165
해운사,129260,인터지스,71.57,1,17.525773195876287,11.752577319587628,-1.2371134020618557,0.6185567010309279
해운사,067900,와이엔텍,62.64,2,11.848341232227488,0.47393364928909953,6.6350710900473935,9.162717219589258
해운사,028670,팬오션,57.87,3,11.420204978038068,10.395314787701318,11.127379209370424,48.16983894582723
핸드셋,238090,앤디포스,80.92,1,-14.102564102564102,-23.931623931623932,-18.333333333333332,31.62393162393162
핸드셋,081580,성우전자,80.54,2,21.153846153846153,-3.8461538461538463,-13.653846153846153,28.076923076923077
핸드셋,054210,이랜텍,75.09,3,20.366598778004075,52.54582484725051,76.17107942973523,113.44195519348268
화장품,025620,차AI헬스케어,79.07,1,41.74757281553398,195.53398058252426,111.6504854368932,79.6116504854369
화장품,014100,메디앙스,70.66,2,-14.728682170542637,-22.093023255813954,-31.007751937984494,-34.80620155038759
화장품,226320,잇츠한불,66.52,3,19.223826714801444,9.2057761732852,7.310469314079422,-8.393501805054152
가정용품,053620,태양,75.11,1,7.836990595611286,5.6426332288401255,1.7241379310344827,11.285266457680251
가정용품,009770,삼정펄프,68.2,2,18.452380952380953,14.880952380952381,20.833333333333336,30.952380952380953
가정용품,012690,모나리자,53.64,3,-3.356890459363958,-16.784452296819786,-23.32155477031802,-21.554770318021202
건축자재,224060,더코디,74.82,1,0.0,-5.537459283387622,-20.846905537459286,83.71335504885994
건축자재,446070,유니드비티플러스,73.47,2,8.690176322418136,-7.682619647355164,-13.476070528967254,-22.292191435768263
건축자재,001520,동양,70.49,3,16.72661870503597,78.41726618705036,54.49640287769785,41.54676258992806
건축제품,014280,금강공업,72.75,1,2.083333333333333,4.276315789473684,23.903508771929825,8.991228070175438
건축제품,018310,삼목에스폼,62.86,2,11.47623862487361,11.47623862487361,-1.1122345803842264,-5.6117290192113245
건축제품,005750,대림바스,62.76,3,8.875,10.375,16.625,48.75
기타금융,023760,한국캐피탈,66.45,1,35.14492753623188,50.18115942028986,43.47826086956522,71.01449275362319
기타금융,038540,상상인,64.56,2,20.901639344262296,16.569086651053862,2.576112412177986,27.92740046838407
기타금융,007330,푸른저축은행,34.57,3,15.337423312883436,22.822085889570552,23.31288343558282,39.87730061349693
복합기업,005440,현대지에프홀딩스,70.17,1,76.30057803468208,51.05973025048169,54.52793834296724,179.5761078998073
복합기업,004150,한솔홀딩스,65.9,2,41.313559322033896,37.71186440677966,29.02542372881356,37.71186440677966
복합기업,001740,SK네트웍스,59.99,3,13.292682926829269,8.658536585365853,8.292682926829269,36.09756097560975
비철금속,032560,황금에스티,75.8,1,20.158102766798418,15.41501976284585,16.205533596837945,16.99604743083004
비철금속,009160,SIMPAC,71.85,2,31.56498673740053,16.578249336870027,34.48275862068966,40.318302387267906
비철금속,054410,케이피티유,69.63,3,23.578595317725753,13.879598662207357,24.24749163879599,20.066889632107024
생물공학,054050,농우바이오,87.29,1,16.736401673640167,22.87308228730823,11.157601115760112,11.715481171548117
생물공학,049960,쎌바이오텍,73.77,2,1.979414093428345,-0.870942201108472,3.167062549485352,14.014251781472684
생물공학,095700,제넥신,72.97,3,20.049813200498132,33.74844333748443,21.793275217932752,18.55541718555417
손해보험,000540,흥국화재,87.58,1,30.56379821958457,15.875370919881307,5.786350148367952,29.673590504451035
손해보험,244920,에이플러스에셋,63.74,2,44.67564259485924,68.42105263157895,126.43818849449204,157.03794369645044
손해보험,211050,인카금융서비스,56.09,3,103.862660944206,80.25751072961373,85.55078683834049,73.24749642346208
전기장비,015860,일진홀딩스,66.64,1,65.9634317862166,54.43037974683544,91.56118143459916,99.15611814345992
전기장비,024840,KBI메탈,64.53,2,6.39958376690947,-5.6191467221644125,-6.919875130072841,14.724245577523412
전기장비,017040,광명전기,50.22,3,55.223880597014926,0.44776119402985076,-7.014925373134329,-27.83582089552239
전기제품,042110,에스씨디,71.31,1,-0.7665505226480837,-7.665505226480835,-11.846689895470384,2.857142857142857
전기제품,005680,삼영전자,66.0,2,12.289395441030724,5.550049554013875,3.072348860257681,54.21209117938554
전기제품,002230,피에스텍,59.82,3,9.61038961038961,8.571428571428571,187.012987012987,158.44155844155844
전문소매,064240,홈캐스트,71.69,1,7.317073170731707,2.4390243902439024,-6.536585365853659,-0.24390243902439024
전문소매,002420,세기상사,50.2,2,9.8,10.8,8.6,2.0
전문소매,178780,일월지엠엘,35.28,3,-19.005847953216374,-13.88888888888889,-21.052631578947366,-25.730994152046783
